temp_C,whole_seq,1arm_mod_seq,2arm_mod_seq,3arm_mod_seq,4_1arm_mod_seq,sensor_Binary,sensor_DNM,core_DNAzyme,core_G-quadruplex,analyte_amplicon,analyte_dsDNA,analyte_ssDNA,class_2
55,-3.1,0.2,1.3,,,True,False,True,False,False,True,False,0
55,-3.1,0.2,-0.2,-0.8,,False,True,True,False,False,True,False,0
23,-13.5,,-2.8,-2.2,-7.6,False,False,False,True,False,True,False,1
23,-16.2,,0.7,-0.4,-3.0,False,False,False,True,False,True,False,1
23,inf,,-3.6,-5.4,-2.8,False,False,False,True,False,True,False,1
23,-15.4,,1.7,-3.9,-3.2,False,False,False,True,False,True,False,1
23,-6.5,,-2.7,-8.2,-4.3,False,False,False,True,False,True,False,1
23,-12.1,,-1.6,-2.2,-3.6,False,False,False,True,False,True,False,1
23,-11.5,,-0.6,-1.9,-8.1,False,False,False,True,False,True,False,1
23,-9.1,,-5.9,-12.3,-3.6,False,False,False,True,False,True,False,1
23,-12.8,,-3.4,-1.7,-3.9,False,False,False,True,False,True,False,1
23,-19.5,,-6.3,-6.4,-4.0,False,False,False,True,False,True,False,1
23,-4.8,,-2.4,-10.9,0.7,False,False,False,True,False,True,False,1
23,-10.2,,-2.8,-3.2,-8.8,False,False,False,True,False,True,False,1
23,-18.3,,-2.2,-1.6,-11.9,False,False,False,True,False,True,False,1
23,-7.6,,-1.1,-4.1,-4.3,False,False,False,True,False,True,False,1
23,-18.4,,-1.5,-8.6,-0.6,False,False,False,True,False,True,False,1
23,-10.1,,-5.1,-2.6,-8.0,False,False,False,True,False,True,False,1
23,-11.7,,0.6,-3.7,-3.1,False,False,False,True,False,True,False,0
23,-11.2,,-1.2,-0.7,-2.3,False,False,False,True,False,True,False,1
23,-9.3,,-5.7,-4.7,-1.0,False,False,False,True,False,True,False,1
23,-10.9,,-4.4,-3.3,-1.6,False,False,False,True,False,True,False,1
23,-15.5,,-1.2,-2.4,-3.6,False,False,False,True,False,True,False,1
23,-14.8,,-7.4,-2.5,-2.0,False,False,False,True,False,True,False,0
23,-7.9,,-4.8,-1.6,-1.8,False,False,False,True,False,True,False,1
23,-21.4,,-2.8,-4.1,-6.7,False,False,False,True,False,True,False,0
